loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.0691,1.2853796482086182,0.000192,0.044444444444444446,10,,,,,
1.8295,0.8298705816268921,0.00018311111111111113,0.08888888888888889,20,,,,,
1.8455,0.9559873938560486,0.00017422222222222223,0.13333333333333333,30,,,,,
1.7522,0.8288237452507019,0.00016533333333333333,0.17777777777777778,40,,,,,
1.7123,2.0192227363586426,0.00015644444444444446,0.2222222222222222,50,,,,,
1.7677,0.7278293371200562,0.00014755555555555556,0.26666666666666666,60,,,,,
1.7304,0.6808311343193054,0.00013866666666666669,0.3111111111111111,70,,,,,
1.7355,0.6486988663673401,0.00012977777777777779,0.35555555555555557,80,,,,,
1.6902,0.7144424319267273,0.0001208888888888889,0.4,90,,,,,
1.7857,0.8126716017723083,0.00011200000000000001,0.4444444444444444,100,,,,,
1.6563,0.7503989934921265,0.00010311111111111111,0.4888888888888889,110,,,,,
1.7929,0.8310655355453491,9.422222222222223e-05,0.5333333333333333,120,,,,,
1.7487,0.6958164572715759,8.533333333333334e-05,0.5777777777777777,130,,,,,
1.7645,0.7383552193641663,7.644444444444445e-05,0.6222222222222222,140,,,,,
1.7242,0.7036534547805786,6.755555555555557e-05,0.6666666666666666,150,,,,,
1.6719,0.6937264204025269,5.866666666666667e-05,0.7111111111111111,160,,,,,
1.7481,0.7192550897598267,4.977777777777778e-05,0.7555555555555555,170,,,,,
1.7117,0.6271898746490479,4.088888888888889e-05,0.8,180,,,,,
1.7293,0.6729544997215271,3.2000000000000005e-05,0.8444444444444444,190,,,,,
1.7425,0.6762263178825378,2.3111111111111112e-05,0.8888888888888888,200,,,,,
1.7109,0.6654152870178223,1.4222222222222224e-05,0.9333333333333333,210,,,,,
1.6496,0.7143963575363159,5.333333333333334e-06,0.9777777777777777,220,,,,,
,,,1.0,225,3441.3567,0.523,0.065,3.933834590748672e+16,1.7536243353949652
