loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.2925,1.10118567943573,0.000192,0.044444444444444446,10,,,,,
2.054,1.1049729585647583,0.00018311111111111113,0.08888888888888889,20,,,,,
2.0039,0.9717584848403931,0.00017422222222222223,0.13333333333333333,30,,,,,
1.9834,0.9398754835128784,0.00016533333333333333,0.17777777777777778,40,,,,,
1.9344,0.85859614610672,0.00015644444444444446,0.2222222222222222,50,,,,,
1.8898,0.9250081777572632,0.00014755555555555556,0.26666666666666666,60,,,,,
1.9541,0.7809049487113953,0.00013866666666666669,0.3111111111111111,70,,,,,
1.8987,0.9248961806297302,0.00012977777777777779,0.35555555555555557,80,,,,,
1.9001,0.7720881700515747,0.0001208888888888889,0.4,90,,,,,
1.8892,1.1261987686157227,0.00011200000000000001,0.4444444444444444,100,,,,,
1.9082,0.7174133062362671,0.00010311111111111111,0.4888888888888889,110,,,,,
1.8798,0.7180373072624207,9.422222222222223e-05,0.5333333333333333,120,,,,,
1.8499,0.91120445728302,8.533333333333334e-05,0.5777777777777777,130,,,,,
1.9405,0.86426842212677,7.644444444444445e-05,0.6222222222222222,140,,,,,
1.9219,0.8110345602035522,6.755555555555557e-05,0.6666666666666666,150,,,,,
1.8977,0.7433081865310669,5.866666666666667e-05,0.7111111111111111,160,,,,,
1.9098,0.7744392156600952,4.977777777777778e-05,0.7555555555555555,170,,,,,
1.8695,0.8533071279525757,4.088888888888889e-05,0.8,180,,,,,
1.8673,0.8571282029151917,3.2000000000000005e-05,0.8444444444444444,190,,,,,
1.8708,0.7298450469970703,2.3111111111111112e-05,0.8888888888888888,200,,,,,
1.8866,0.7798886299133301,1.4222222222222224e-05,0.9333333333333333,210,,,,,
1.8638,0.7870656251907349,5.333333333333334e-06,0.9777777777777777,220,,,,,
,,,1.0,225,3538.8004,0.509,0.064,3.9356794404864e+16,1.92848695119222
